Part number,Part name,Unit Price,Total Price,Purchase Quantity,Source,Link
SEN-16762,pi cam lens,,,2,Sparkfun,https://www.sparkfun.com/raspberry-pi-hq-camera-lens-6mm-wide-angle.html
SDSQXCD-256G-GN6MA,256gb Micro Sd card,,,2,Sandisk,https://shop.sandisk.com/products/memory-cards/microsd-cards/sandisk-extreme-pro-uhs-i-microsd?sku=SDSQXCD-256G-GN6MA
4554,IMU,,,2,Adafruit,https://www.adafruit.com/product/4554
3349,AA batteries,,,2,Adafruit,https://www.adafruit.com/product/3349
5035,18650 Lipo Battery pack,,,2,Adafruit,https://www.adafruit.com/product/5035
5702,Pi camera,,,2,Adafruit,https://www.adafruit.com/product/5702
259,Lion/Lipoly charger,,,1,Adafruit,https://www.adafruit.com/product/259
5820,pi cam cable (500mm),,,2,Adafruit,https://www.adafruit.com/product/5820
2648-SC1791-ND,Pi AI hat,,,1,Digikey,https://www.digikey.com/en/products/detail/raspberry-pi/SC1791/25807414
1948-1780-ND,E Stop,,,1,Digikey,https://www.digikey.com/en/products/detail/eao/61-6441-4047/8735380?s=N4IgTCBcDaIGwEYC0cAsqEDpUAZUHYQBdAXyA
WLP-VP,Wet link penetrators (M14 HC),,,20,blue robotics,https://bluerobotics.com/store/cables-connectors/penetrators/wlp-vp/
9785T82,Red HDPE Sheet,,,2,McMaster,https://www.mcmaster.com/9785T82
92190A111,M3 x 6mm bolts,,,1,McMaster,https://www.mcmaster.com/91290A111
92190A113,M3 x 8mm bolts,,,1,McMaster,https://www.mcmaster.com/91290A113
92190A115,M3 x 10mm bolts,,,1,McMaster,https://www.mcmaster.com/91290A115
92190A117,M3 x 12mm bolts,,,1,McMaster,https://www.mcmaster.com/91290A117
92190A120,M3 x 16mm bolts,,,1,McMaster,https://www.mcmaster.com/91290A120
92190A123,M3 x 20mm bolts,,,1,McMaster,https://www.mcmaster.com/91290A123
92190A125,M3 x 25mm bolts,,,1,McMaster,https://www.mcmaster.com/91290A125
92190A130,M3 x 30mm bolts,,,1,McMaster,https://www.mcmaster.com/91290A130
92190A135,M3 x 35mm bolts,,,1,McMaster,https://www.mcmaster.com/91290A135
90180A232,M5 x 8mm bolts,,,1,McMaster,https://www.mcmaster.com/90128A232
90180A234,M5 x 10mm bolts,,,1,McMaster,https://www.mcmaster.com/90128A234
90180A236,M5 x 12mm bolts,,,1,McMaster,https://www.mcmaster.com/90128A236
90180A244,M5 x 16mm bolts,,,1,McMaster,https://www.mcmaster.com/90128A244
90180A248,M5 x 20mm bolts,,,1,McMaster,https://www.mcmaster.com/90128A248
90180A249,M5 x 25mm bolts,,,1,McMaster,https://www.mcmaster.com/90128A249
90180A256,M5 x 30mm bolts,,,1,McMaster,https://www.mcmaster.com/90128A256
90180A257,M5 x 40mm bolts,,,1,McMaster,https://www.mcmaster.com/90128A257
94459A769,m3 heat set inserts,,,4,McMaster,https://www.mcmaster.com/94459A769
98676A100,m3 nuts,,,12,McMaster,https://www.mcmaster.com/98676A100
94150A340,m5 nuts,,,24,McMaster,https://www.mcmaster.com/94150A340
14352,120 mm Rad,,,1,Alphacool,https://shop.alphacool.com/en/shop/radiators/120mm/14352-alphacool-nexxxos-st25-full-copper-120mm-radiator
9SIAP88K8U6194,120mm fan,,,2,newegg,https://www.newegg.com/noctua-nf-a12x25-pwm-case-fan/p/1YF-000T-000K7
