Part number (internal),Part name,Unit Price,Total Price,Source,Team,Location (on vehicle),Purpose,Quantity,Link
,Turtle Beach VelocityOne Flightstick,$129.36,$129.36,Amazon,3,N/A,Vehicle control,1,https://www.amazon.com/VelocityOne-Flightstick-Simulation-Controller-Gaming-Console/dp/B0BHTPP71M?crid=1WG53KDECRQ66&dib=eyJ2IjoiMSJ9.LqsWzdu1ORdjMSEKpyBtBYETaQn3KGR4bv-qRTnQgk3iqQjze6eSST9xFgF0uKpVPJlXSK1B3DLGtNs_7cMT9jPrTYNaLKNlXZWg80IolgZm2j_WfFJ146m8WNHQQJQBddbFAwBX8YkvjR2_jfMnIeybM7WFSec4ZOVGn2fr4u2M_ym1M_CgwGB_by3s4j1JVXS70ZMGJyv-16P6JtcRdu0b6Pw8ESh2BKxgKAkrIU4.ILS7lnqd9RvWOwoiexwQH4nmsQvsKZe3-aZLydEPgtU&dib_tag=se&keywords=turtle%2Bbeach%2Bvelocity%2Bone%2Bflight%2Bstick&qid=1741623627&sprefix=turtle%2Bbeach%2Bvelocity%2Bone%2B%2Caps%2C301&sr=8-1&th=1
,Crucial BX500,$94.99,$94.99,Amazon,3,N/A,Video recording storage,1,https://www.amazon.com/Crucial-BX500-NAND-2-5-Inch-Internal/dp/B07YD579WM?crid=220D67PMPVDGK&dib=eyJ2IjoiMSJ9.h8-fIx0b96Q6AZhdwCB9pEChQWClrZVjL9ibcWvn_ofdY1oBHCr1BMcZ1FVAPOVWrymzhYeW1Y2nyscs1VNabdA56Dklx18uQ-XtAx5U7-acmVXpXbwdqZe-oLrodUbd6f5vIT9adnxUcbrahUEuC7AFmlERdasTrmJppyfOxuWH97PPGcHBpVnVJfs8MKH5iBfcI16ETT_4VqRDKxm21uBKqmoTi59LHsXI9iTYDM8.TUFjghqaEb-GLJnmpKf8SI_1dfJTyYMjbnS5azinZmQ&dib_tag=se&keywords=1%2Btb%2BSATA%2Bssd&qid=1741623046&sprefix=1%2Btb%2Bsata%2Bssd%2Caps%2C171&sr=8-16&th=1
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
,,$0.00,$0.00,,,,,,
